label;betweenesscentrality;degree
emotion;0,158105;2317
positive;0,126381;2204
experience;0,027018;1202
people;0,02457;1099
negative;0,021304;1096
good;0,02027;988
one;0,017172;861
study;0,016788;853
broaden;0,014085;988
participant;0,012493;751
effect;0,012098;829
find;0,011574;801
show;0,011416;729
use;0,011362;751
work;0,011247;796
build;0,010413;857
emotional;0,009313;744
action;0,009071;793
individual;0,00798;760
time;0,007818;754
play;0,007198;504
social;0,007139;650
affect;0,007117;646
interest;0,006898;565
think;0,006875;737
two;0,006805;656
increase;0,006268;666
life;0,00603;583
state;0,005977;667
although;0,005959;524
test;0,005954;607
resource;0,005905;692
make;0,005888;490
physical;0,005703;556
feel;0,005555;537
change;0,005497;525
even;0,005001;522
within;0,004948;556
suggest;0,004625;589
research;0,004542;538
new;0,004498;473
level;0,004371;571
process;0,004201;479
human;0,004152;441
theory;0,004071;592
colleague;0,00406;477
evidence;0,004007;578
associate;0,003909;485
high;0,003852;482
present;0,003725;410
contentment;0,003688;463
create;0,003626;442
become;0,003589;370
lead;0,003531;411
cardiovascular;0,00351;468
tendency;0,00339;485
whereas;0,003353;381
experiment;0,00334;477
joy;0,003317;414
specific;0,003242;541
measure;0,003239;435
include;0,003234;443
self;0,003212;475
like;0,003189;454
psychology;0,003167;346
psychological;0,003139;480
response;0,003081;398
pleasant;0,003061;227
provide;0,003051;403
urge;0,003038;414
often;0,003035;440
function;0,00297;501
model;0,002958;461
may;0,002917;466
learn;0,002899;369
cognitive;0,002858;419
love;0,002813;445
another;0,002776;350
first;0,002767;399
view;0,002753;442
appear;0,002729;400
way;0,002684;407
support;0,002683;470
neutral;0,002665;480
empirical;0,002662;400
behavior;0,002644;428
activity;0,002602;338
early;0,002599;338
task;0,002564;406
among;0,002536;401
smile;0,002535;379
attention;0,002491;491
late;0,002447;424
focus;0,002438;375
health;0,002429;452
produce;0,002401;474
describe;0,002355;361
take;0,002337;406
great;0,002336;431
range;0,002323;410
clip;0,002246;354
long;0,002217;430
base;0,002211;358
little;0,0022;348
problem;0,00217;374
mean;0,002146;395
behavioral;0,002144;355
fear;0,002139;310
report;0,002132;404
student;0,002123;325
hypothesis;0,00212;477
emerge;0,002116;290
whether;0,002029;387
engage;0,002014;295
wide;0,002;242
mind;0,001995;325
give;0,001982;270
assess;0,001982;299
film;0,001882;330
large;0,001807;197
across;0,001803;333
system;0,001797;308
distinct;0,001776;382
need;0,001772;311
develop;0,001755;352
undo;0,001748;396
datum;0,001748;363
spiral;0,001744;392
write;0,00173;191
person;0,001676;288
important;0,00166;300
example;0,001652;228
visual;0,001624;284
relate;0,001601;367
group;0,001599;323
moment;0,001596;353
either;0,001584;298
just;0,001572;230
other;0,001534;291
explore;0,001519;286
elicit;0,001516;264
form;0,001508;322
circumstance;0,001499;324
relationship;0,001499;303
face;0,001498;216
narrow;0,001477;351
complex;0,00147;218
personal;0,001467;350
follow;0,001461;348
word;0,001453;183
help;0,001446;334
global;0,00143;293
resilience;0,001409;270
context;0,001408;299
turn;0,001399;291
question;0,00138;241
term;0,001357;334
approach;0,001327;282
link;0,001319;297
researcher;0,00131;241
see;0,001306;276
perhaps;0,0013;304
adult;0,001289;209
initial;0,001276;364
anger;0,001262;264
gain;0,001259;198
repertoire;0,00125;420
predict;0,001245;381
induce;0,001236;348
relative;0,00122;303
continue;0,001201;243
serve;0,0012;320
however;0,001189;257
pattern;0,001189;298
flourish;0,001183;258
perspective;0,001183;332
science;0,001174;203
physiological;0,001169;267
similar;0,001168;267
condition;0,001166;328
scope;0,001129;305
involve;0,001125;172
identify;0,001124;184
upward;0,001121;361
brain;0,001119;217
momentary;0,001116;321
year;0,001113;196
isen;0,001111;300
share;0,001107;284
look;0,001093;240
particular;0,001085;322
general;0,001081;237
control;0,001054;285
anxiety;0,001041;294
consistent;0,001035;326
resilient;0,001011;261
facial;0,001008;225
positivity;0,001008;274
three;0,001003;266
ask;0,000991;251
examine;0,000988;251
sadness;0,000986;250
idea;0,000972;258
field;0,000971;213
difference;0,000971;245
result;0,000954;322
around;0,00095;178
especially;0,000946;208
speech;0,000936;198
degree;0,000931;193
low;0,000924;219
compare;0,000923;242
understand;0,000919;290
reveal;0,000914;202
note;0,000914;233
nature;0,000911;195
ability;0,000909;312
2;0,000904;231
sample;0,0009;170
mood;0,000895;218
recent;0,000886;206
small;0,000884;162
university;0,000881;197
child;0,00088;161
body;0,000877;223
mental;0,000868;167
together;0,000855;304
standard;0,000853;172
happiness;0,000851;197
contrast;0,00085;224
creative;0,000838;218
affective;0,000835;253
benefit;0,000832;252
analysis;0,000826;221
comparison;0,000823;161
event;0,000822;275
review;0,000803;201
part;0,000802;217
consider;0,000796;210
rate;0,000793;177
trigger;0,000791;282
fight;0,00079;171
figure;0,000772;192
current;0,000767;260
information;0,000763;197
eye;0,000758;191
light;0,000755;124
likely;0,000745;229
expand;0,000744;216
disease;0,00073;152
future;0,000728;289
lkm;0,000728;249
local;0,000723;220
tone;0,000722;272
recovery;0,000717;238
daily;0,000711;275
key;0,00071;225
short;0,000707;238
depression;0,000701;191
amusement;0,0007;234
come;0,000698;193
cope;0,000697;286
activation;0,000692;273
index;0,000683;208
call;0,000681;244
flexible;0,000677;201
thought;0,000675;233
vagal;0,000666;261
act;0,000662;255
set;0,000657;221
exploration;0,000655;131
design;0,000654;212
us;0,000651;137
various;0,000645;168
feeling;0,000642;192
performance;0,00064;179
survival;0,000638;229
past;0,000633;232
connection;0,000615;244
know;0,000615;176
characterize;0,000611;200
item;0,00061;159
broad;0,000607;276
agreement;0,000606;31
situation;0,000605;225
five;0,000604;168
numb;0,000603;186
subjective;0,0006;249
advance;0,000598;134
many;0,000596;262
offer;0,000595;186
psychologist;0,000594;168
lab;0,000588;190
reason;0,000587;216
observe;0,000585;159
rather;0,000584;208
knowledge;0,000581;154
oxytocin;0,000581;114
reliably;0,000579;133
mark;0,000578;170
target;0,00057;192
growth;0,00057;193
promote;0,000569;250
